customer_id,predicted_clv,churn_probability,segment,action,offer
1,-0.4553864,0.8665235954196244,Hibernating,Win-back,We Miss You Offer
2,-0.47131702,0.910449711571504,Hibernating,Win-back,We Miss You Offer
3,1.2705894,0.0828485400531011,Champions,Reward Loyalty,Exclusive VIP Access
4,-0.4798331,0.7591430189121239,Hibernating,Win-back,We Miss You Offer
5,-0.05208071,0.1478690514404206,Champions,Reward Loyalty,Exclusive VIP Access
6,-0.24356776,0.2895356045217778,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
7,-0.46517843,0.7717786822864227,Hibernating,Win-back,We Miss You Offer
8,-0.44622612,0.1744791214025957,Potential Loyalists,Onboarding,Welcome Guide
9,-0.21820205,0.6881377495657494,Need Attention,Nurture,Product Recommendations
10,-0.44170278,0.8125656569566274,Hibernating,Win-back,We Miss You Offer
11,-0.30261746,0.0335870940242381,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
12,-0.47171465,0.9000889016552478,Hibernating,Win-back,We Miss You Offer
13,-0.30163968,0.746419294611897,At Risk,Re-engagement Campaign,15% Discount
14,-0.48833412,0.26337140407621,Potential Loyalists,Onboarding,Welcome Guide
15,-0.49723992,0.908403930350132,Hibernating,Win-back,We Miss You Offer
16,-0.4865385,0.8779069592021845,Hibernating,Win-back,We Miss You Offer
17,-0.30323005,0.2211321689830887,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
18,-0.44593915,0.9085653519480336,Hibernating,Win-back,We Miss You Offer
19,-0.31249887,0.1234590361620384,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
20,-0.49248835,0.9034854467382416,Hibernating,Win-back,We Miss You Offer
21,-0.42864034,0.5580133455956142,Need Attention,Nurture,Product Recommendations
22,-0.47755972,0.9192798920200984,Hibernating,Win-back,We Miss You Offer
23,-0.47496662,0.6683507839062541,Drifting,Reconnect,Usage Tips
24,-0.19412372,0.0660144769366572,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
25,-0.37682208,0.5942317588162749,Need Attention,Nurture,Product Recommendations
26,3.0778759,0.0095450452643575,Champions,Reward Loyalty,Exclusive VIP Access
27,-0.4673194,0.7619668379084367,Hibernating,Win-back,We Miss You Offer
28,-0.4857058,0.9121731657330724,Hibernating,Win-back,We Miss You Offer
29,-0.47330374,0.8204037119468149,Hibernating,Win-back,We Miss You Offer
30,-0.030735124,0.0091371711725496,Champions,Reward Loyalty,Exclusive VIP Access
31,-0.31575105,0.019457504019822,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
32,0.10184256,0.2396101760957515,Champions,Reward Loyalty,Exclusive VIP Access
33,-0.46683568,0.8688961305515014,Hibernating,Win-back,We Miss You Offer
34,-0.47782004,0.8796469125804665,Hibernating,Win-back,We Miss You Offer
35,-0.2806232,0.233594773249455,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
36,-0.21886991,0.0472064005509628,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
37,-0.36519605,0.1525333043386848,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
38,-0.17308445,0.2073157928914025,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
39,-0.2555954,0.0885602738463954,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
40,-0.44568276,0.7113547951184193,Hibernating,Win-back,We Miss You Offer
41,-0.35243356,0.501358717224206,Need Attention,Nurture,Product Recommendations
42,-0.47762987,0.9230817802079784,Hibernating,Win-back,We Miss You Offer
43,-0.19652101,0.0050169677239065,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
44,-0.451633,0.6946332630872629,Drifting,Reconnect,Usage Tips
45,-0.35975468,0.4809663746572902,Need Attention,Nurture,Product Recommendations
46,-0.41004044,0.6711835268647321,Need Attention,Nurture,Product Recommendations
47,3.852473,0.0008022081054903,Champions,Reward Loyalty,Exclusive VIP Access
48,-0.31317925,0.6328866636654611,Need Attention,Nurture,Product Recommendations
49,0.029293073,0.0284851517451334,Champions,Reward Loyalty,Exclusive VIP Access
50,-0.33910164,0.3406532454183126,Need Attention,Nurture,Product Recommendations
51,0.80436903,0.019653967858971,Champions,Reward Loyalty,Exclusive VIP Access
52,-0.4857058,0.716910131853054,Hibernating,Win-back,We Miss You Offer
53,-0.13288005,0.4369107598830409,Need Attention,Nurture,Product Recommendations
54,-0.3779021,0.4067349118183692,Need Attention,Nurture,Product Recommendations
55,-0.25092715,0.0283015066758372,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
56,-0.400196,0.4875355744753232,Need Attention,Nurture,Product Recommendations
57,-0.4894375,0.9427172737156372,Hibernating,Win-back,We Miss You Offer
58,-0.30363122,0.6199885911199927,Need Attention,Nurture,Product Recommendations
59,-0.4817336,0.8602105226968227,Hibernating,Win-back,We Miss You Offer
60,-0.48556557,0.4974671895889527,Drifting,Reconnect,Usage Tips
61,-0.49748147,0.8992345589738346,Hibernating,Win-back,We Miss You Offer
62,-0.4415126,0.9340082230590095,Hibernating,Win-back,We Miss You Offer
63,-0.4895766,0.9290341362988024,Hibernating,Win-back,We Miss You Offer
64,-0.2350246,0.7366632909558846,At Risk,Re-engagement Campaign,15% Discount
65,-0.49468493,0.9414945858751468,Hibernating,Win-back,We Miss You Offer
66,-0.44158277,0.7502398274113026,Hibernating,Win-back,We Miss You Offer
67,-0.2827144,0.0207631246261934,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
68,-0.2981267,0.4785541513195778,Need Attention,Nurture,Product Recommendations
69,-0.45851988,0.8148685503680875,Hibernating,Win-back,We Miss You Offer
70,1.3168019,0.0869561928243584,Champions,Reward Loyalty,Exclusive VIP Access
71,-0.17060313,0.2078682219771397,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
72,-0.4501628,0.9615287387985252,Hibernating,Win-back,We Miss You Offer
73,-0.23583813,0.2091912471974119,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
74,-0.49130875,0.9386157500294984,Hibernating,Win-back,We Miss You Offer
75,-0.42864034,0.5836311949494595,Need Attention,Nurture,Product Recommendations
76,-0.46955773,0.9436887139759536,Hibernating,Win-back,We Miss You Offer
77,-0.48950645,0.6162533065207958,Drifting,Reconnect,Usage Tips
78,-0.4855455,0.9087525365484856,Hibernating,Win-back,We Miss You Offer
79,0.13117379,0.0757715646769363,Champions,Reward Loyalty,Exclusive VIP Access
80,-0.19966975,0.5616554539904408,Need Attention,Nurture,Product Recommendations
81,-0.4865184,0.7079891991320973,Hibernating,Win-back,We Miss You Offer
82,-0.33473977,0.6682864338160165,Need Attention,Nurture,Product Recommendations
83,-0.45171666,0.8940474479980961,Hibernating,Win-back,We Miss You Offer
84,-0.22498581,0.0059436937803149,Loyal Customers,Upsell / Cross-sell,Buy 1 Get 1 Free
85,-0.3153595,0.7432376980946629,At Risk,Re-engagement Campaign,15% Discount
86,-0.47112024,0.9124182175143264,Hibernating,Win-back,We Miss You Offer
